"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Калькулятор Google","Арифметические действия","Умножение","0","0","1","0","0"
"Калькулятор Google","Арифметические действия","Деление","0","0","1","0","0"
"Калькулятор Google","Арифметические действия","Вычитание","0","0","1","0","0"
"Калькулятор Google","Арифметические действия","Сложение","0","0","1","0","0"
